translation,Surah,Juz
از خدا پروا داريد و فرمانم ببريد.,163,19
و بر اين [رسالت‌] اجرى از شما طلب نمى‌كنم. اجر من جز بر عهده پروردگار جهانيان نيست.,164,19
آيا از ميان مردم جهان، با مردها در مى‌آميزيد؟,165,19
و آنچه را پروردگارتان از همسرانتان براى شما آفريده وامى‌گذاريد؟ [نه،] بلكه شما مردمى تجاوزكاريد.,166,19
گفتند: «اى لوط، اگر دست برندارى، قطعاً از اخراج‌شدگان خواهى بود.»,167,19
پس اگر نكرديد -و هرگز نمى‌توانيد كرد- از آن آتشى كه سوختش مردمان و سنگها هستند، و براى كافران آماده شده، بپرهيزيد.,24,1
[اينانند] شكيبايان و راستگويان و فرمانبرداران و انفاق‌كنندگان و آمرزش‌خواهان در سحرگاهان.,17,3
گفت: «به راستى من دشمن كردار شمايم.,168,19
پروردگارا، مرا و كسان مرا از آنچه انجام مى‌دهند رهايى بخش.»,169,19
پس او و كسانش را همگى، رهانيديم-,170,19
جز پيرزنى كه از باقى‌ماندگان [در خاكستر آتش‌] بود.,171,19
سپس ديگران را سخت هلاك كرديم.,172,19
و بر [سر] آنان بارانى [از آتش گوگرد] فرو ريختيم. و چه بد بود باران بيم‌داده‌شدگان.,173,19
قطعاً در اين [عقوبت‌] عبرتى است، و[لى‌] بيشترشان ايمان‌آورنده نبودند.,174,19
و در حقيقت، پروردگار تو همان شكست‌ناپذير مهربان است.,175,19
اصحاب ايكه فرستادگان را تكذيب كردند.,176,19
آنگاه كه شعيب به آنان گفت: «آيا پروا نداريد؟,177,19
خدا كه همواره به عدل، قيام دارد، گواهى مى‌دهد كه جز او هيچ معبودى نيست؛ و فرشتگانِ [او] و دانشوران [نيز گواهى مى‌دهند كه:] جز او، كه توانا و حكيم است، هيچ معبودى نيست.,18,3
من براى شما فرستاده‌اى در خور اعتمادم.,178,19
از خدا پروا داريد و فرمانم ببريد.,179,19
و بر اين [رسالت‌] اجرى از شما طلب نمى‌كنم. اجر من جز بر عهده پروردگار جهانيان نيست.,180,19
پيمانه را تمام دهيد و از كم‌فروشان مباشيد.,181,19
و با ترازوى درست بسنجيد.,182,19
و از ارزش اموال مردم مكاهيد و در زمين سر به فساد بر مداريد.,183,19
و از آن كس كه شما و خلق [انبوه‌] گذشته را آفريده است پروا كنيد.»,184,19
گفتند: «تو واقعاً از افسون‌شدگانى.»,185,19
«و تو جز بشرى مانند ما [بيش‌] نيستى، و قطعاً تو را از دروغگويان مى‌دانيم.,186,19
پس اگر از راستگويانى، پاره‌اى از آسمان بر [سر] ما بيفكن.»,187,19
در حقيقت، دين نزد خدا همان اسلام است. و كسانى كه كتاب [آسمانى‌] به آنان داده شده، با يكديگر به اختلاف نپرداختند مگر پس از آنكه علم براى آنان [حاصل‌] آمد، آن هم به سابقه حسدى كه ميان آنان وجود داشت. و هر كس به آيات خدا كفر ورزد، پس [بداند] كه خدا زودشمار است.,19,3
[شعيب‌] گفت: «پروردگارم به آنچه مى‌كنيد داناتر است.»,188,19
پس او را تكذيب كردند، و عذابِ روزِ ابر [آتشبار] آنان را فرو گرفت. به راستى آن، عذاب روزى هولناك بود.,189,19
قطعاً در اين [عقوبت درسِ‌] عبرتى است، و[لى‌] بيشترشان ايمان آورنده نبودند.,190,19
و در حقيقت، پروردگار تو همان شكست‌ناپذير مهربان است.,191,19
و راستى كه اين [قرآن‌] وحى پروردگار جهانيان است.,192,19
«روح الامين» آن را بر دلت نازل كرد،,193,19
تا از [جمله‌] هشداردهندگان باشى؛,194,19
به زبان عربى روشن،,195,19
و [وصف‌] آن در كتابهاى پيشينيان آمده است.,196,19
آيا براى آنان، اين خود دليلى روشن نيست كه علماى بنى‌اسرائيل از آن اطّلاع دارند؟,197,19
پس اگر با تو به محاجّه برخاستند، بگو: «من خود را تسليم خدا نموده‌ام، و هر كه مرا پيروى كرده [نيز خود را تسليم خدا نموده است‌].» و به كسانى كه اهل كتابند و به مشركان بگو: «آيا اسلام آورده‌ايد؟» پس اگر اسلام آوردند، قطعاً هدايت يافته‌اند، و اگر روى برتافتند، فقط رساندن پيام بر عهده توست، و خداوند به [امور] بندگان بيناست.,20,3
و اگر آن را بر برخى از غير عرب زبانان نازل مى‌كرديم،,198,19
و پيامبر آن را برايشان مى‌خواند به آن ايمان نمى‌آوردند.,199,19
اين گونه در دلهاى گناهكاران، [انكار را] راه مى‌دهيم:,200,19
كه به آن نگروند تا عذاب پردرد را ببينند،,201,19
كه به طور ناگهانى -در حالى كه بى‌خبرند- بديشان برسد.,202,19
و بگويند: «آيا مهلت خواهيم يافت؟»,203,19
پس آيا عذاب ما را به شتاب مى‌خواهند؟,204,19
مگر نمى‌دانى كه اگر سالها آنان را برخوردار كنيم،,205,19
و آنگاه آنچه كه [بدان‌] بيم داده مى‌شوند بديشان برسد،,206,19
آنچه از آن برخوردار مى‌شدند، به كارشان نمى‌آيد [و عذاب را از آنان دفع نمى‌كند]؟,207,19
كسانى كه به آيات خدا كفر مى‌ورزند، و پيامبران را بناحق مى‌كشند، و دادگستران را به قتل مى‌رسانند، آنان را از عذابى دردناك خبر ده.,21,3
و هيچ شهرى را هلاك نكرديم مگر آنكه براى آن هشداردهندگانى بود.,208,19
[تا آنان را] تذكر [دهند]؛ و ما ستمكار نبوده‌ايم.,209,19
و شيطانها آن را فرود نياورده‌اند.,210,19
و آنان را نسزد و نمى‌توانند [وحى كنند].,211,19
در حقيقت آنها از شنيدن، معزول [و محروم‌]اند.,212,19
پس با خدا، خداى ديگر مخوان كه از عذاب‌شدگان خواهى شد.,213,19
و خويشان نزديكت را هشدار ده.,214,19
و براى آن مؤمنانى كه تو را پيروى كرده‌اند، بال خود را فرو گستر.,215,19
و اگر تو را نافرمانى كردند، بگو: «من از آنچه مى‌كنيد بيزارم.»,216,19
و بر [خداىِ‌] عزيزِ مهربان توكل كن،,217,19
آنان كسانى‌اند كه در [اين‌] دنيا و [در سراى‌] آخرت، اعمالشان به هدر رفته و براى آنان هيچ ياورى نيست.,22,3
آن كس كه چون [به نماز] برمى‌خيزى تو را مى‌بيند،,218,19
و حركت تو را در ميان سجده‌كنندگان [مى‌نگرد].,219,19
او همان شنواى داناست.,220,19
آيا شما را خبر دهم كه شياطين بر چه كسى فرود مى‌آيند؟,221,19
بر هر دروغزن گناهكارى فرود مى‌آيند،,222,19
كه [دزدانه‌] گوش فرا مى‌دارند و بيشترشان دروغگويند،,223,19
و شاعران را گمراهان پيروى مى‌كنند.,224,19
آيا نديده‌اى كه آنان در هر واديى سرگردانند؟,225,19
و آنانند كه چيزهايى مى‌گويند كه انجام نمى‌دهند.,226,19
مگر كسانى كه ايمان آورده و كارهاى شايسته كرده و خدا را بسيار به ياد آورده و پس از آنكه مورد ستم قرار گرفته‌اند يارى خواسته‌اند. و كسانى كه ستم كرده‌اند به زودى خواهند دانست به كدام بازگشتگاه برخواهند گشت.,227,19
آيا داستان كسانى را كه بهره‌اى از كتاب [تورات‌] يافته‌اند ندانسته‌اى كه چون به سوى كتاب خدا فرا خوانده مى‌شوند تا ميانشان حكم كند، آنگه گروهى از آنان به حال اعراض، روى برمى‌تابند؟,23,3
طا، سين. اين است آيات قرآن و [آيات‌] كتابى روشنگر،,1,19
كه [مايه‌] هدايت و بشارت براى مؤمنان است.,2,19
همانان كه نماز برپا مى‌دارند و زكات مى‌دهند و خود به آخرت يقين دارند.,3,19
كسانى كه به آخرت ايمان ندارند، كردارهايشان را در نظرشان بياراستيم [تا همچنان‌] سرگشته بمانند.,4,19
آنان كسانى‌اند كه عذاب سخت براى ايشان خواهد بود، و در آخرت، خود زيانكارترين [مردم‌]اند.,5,19
و حقاً تو قرآن را از سوى حكيمى دانا دريافت مى‌دارى.,6,19
[يادكن‌] هنگامى را كه موسى به خانواده خود گفت: «من آتشى به نظرم رسيد، به زودى براى شما خبرى از آن خواهم آورد، يا شعله آتشى براى شما مى‌آورم، باشد كه خود را گرم كنيد.»,7,19
چون نزد آن آمد، آوا رسيد كه: «خجسته [و مبارك گرديد] آنكه در كنار اين آتش و آنكه پيرامون آن است، و منزه است خدا، پروردگار جهانيان.»,8,19
«اى موسى، اين منم خداى عزيز حكيم.»,9,19
و عصايت را بيفكن. پس چون آن را همچون مارى ديد كه مى‌جنبد، پشت گردانيد و به عقب بازنگشت. «اى موسى، مترس كه فرستادگان پيش من نمى‌ترسند.,10,19
اين بدان سبب بود كه آنان [به پندار خود] گفتند: «هرگز آتش جز چند روزى به ما نخواهد رسيد»، و برساخته‌هايشان آنان را در دينشان فريفته كرده است.,24,3
ليكن كسى كه ستم كرده سپس -بعد از بدى- نيكى را جايگزين [آن‌] گردانيده، [بداند] كه من آمرزنده مهربانم.,11,19
و دستت را در گريبانت كن تا سپيد بى‌عيب بيرون آيد. [اينها] از [جمله‌] نشانه‌هاى نُه‌گانه‌اى است [كه بايد] به سوى فرعون و قومش [ببَرى‌]، زيرا كه آنان مردمى نافرمانند.,12,19
و هنگامى كه آيات روشنگر ما به سويشان آمد گفتند: «اين سحرى آشكار است.»,13,19
و با آنكه دلهايشان بدان يقين داشت، از روى ظلم و تكبر آن را انكار كردند. پس ببين فرجام فسادگران چگونه بود.,14,19
و به راستى به داوود و سليمان دانشى عطا كرديم، و آن دو گفتند: «ستايش خدايى را كه ما را بر بسيارى از بندگان باايمانش برترى داده است.»,15,19
و سليمان از داوود ميراث يافت و گفت: «اى مردم، ما زبان پرندگان را تعليم يافته‌ايم و از هر چيزى به ما داده شده است. راستى كه اين همان امتياز آشكار است.»,16,19
و براى سليمان سپاهيانش از جن و انس و پرندگان جمع‌آورى شدند و [براى رژه‌] دسته دسته گرديدند.,17,19
تا آنگاه كه به وادى مورچگان رسيدند. مورچه‌اى [به زبان خويش‌] گفت: «اى مورچگان، به خانه‌هايتان داخل شويد، مبادا سليمان و سپاهيانش -نديده و ندانسته- شما را پايمال كنند.»,18,19
[سليمان‌] از گفتار او دهان به خنده گشود و گفت: «پروردگارا، در دلم افكن تا نعمتى را كه به من و پدر و مادرم ارزانى داشته‌اى سپاس بگزارم، و به كار شايسته‌اى كه آن را مى‌پسندى بپردازم، و مرا به رحمت خويش در ميان بندگان شايسته‌ات داخل كن.»,19,19
و جوياى [حال‌] پرندگان شد و گفت: «مرا چه شده است كه هدهد را نمى‌بينم؟ يا شايد از غايبان است؟,20,19
پس چگونه خواهد بود [حالشان‌] آنگاه كه آنان را در روزى كه هيچ شكى در آن نيست گرد آوريم؛ و به هر كس [پاداش‌] دستاوردش به تمام [و كمال‌] داده شود و به آنان ستم نرسد؟,25,3
قطعاً او را به عذابى سخت عذاب مى‌كنم يا سرش را مى‌برم مگر آنكه دليلى روشن براى من بياورد.,21,19
پس ديرى نپاييد كه [هدهد آمد و] گفت: «از چيزى آگاهى يافتم كه از آن آگاهى نيافته‌اى، و براى تو از «سبا» گزارشى درست آورده‌ام.,22,19
من [آنجا] زنى را يافتم كه بر آنها سلطنت مى‌كرد و از هر چيزى به او داده شده بود و تختى بزرگ داشت.,23,19
او و قومش را چنين يافتم كه به جاى خدا به خورشيد سجده مى‌كنند، و شيطان اعمالشان را برايشان آراسته و آنان را از راه [راست‌] باز داشته بود، در نتيجه [به حق‌] راه نيافته بودند.,24,19
[آرى، شيطان چنين كرده بود] تا براى خدايى كه نهان را در آسمانها و زمين بيرون مى‌آورد و آنچه را پنهان مى‌داريد و آنچه را آشكار مى‌نماييد مى‌داند، سجده نكنند؛,25,19
خداى يكتا كه هيچ خدايى جز او نيست، پروردگار عرش بزرگ است.»,26,19
گفت: «خواهيم ديد آيا راست گفته‌اى يا از دروغگويان بوده‌اى.»,27,19
«اين نامه مرا ببر و به سوى آنها بيفكن، آنگاه از ايشان روى برتاب، پس ببين چه پاسخ مى‌دهند.»,28,19
[ملكه سبا] گفت: «اى سران [كشور] نامه‌اى ارجمند براى من آمده است،,29,19
كه از طرف سليمان است و [مضمون آن‌] اين است: به نام خداوند رحمتگر مهربان.,30,19
بگو: «بار خدايا، تويى كه فرمانفرمايى؛ هر آن كس را كه خواهى، فرمانروايى بخشى؛ و از هر كه خواهى، فرمانروايى را باز ستانى؛ و هر كه را خواهى، عزت بخشى؛ و هر كه را خواهى، خوار گردانى؛ همه خوبيها به دست توست، و تو بر هر چيز توانايى.»,26,3
بر من بزرگى مكنيد و مرا از در اطاعت درآييد.»,31,19
گفت: «اى سران [كشور] در كارم به من نظر دهيد كه بى‌حضور شما [تا به حال‌] كارى را فيصله نداده‌ام.»,32,19
گفتند: «ما سخت نيرومند و دلاوريم، و[لى‌] اختيار كار با توست، بنگر چه دستور مى‌دهى؟»,33,19
[ملكه‌] گفت: «پادشاهان چون به شهرى درآيند، آن را تباه و عزيزانش را خوار مى‌گردانند، و اين گونه مى‌كنند.»,34,19
«و [اينك‌] من ارمغانى به سويشان مى‌فرستم و مى‌نگرم كه فرستادگان [من‌] با چه چيز بازمى‌گردند.»,35,19
و چون [فرستاده‌] نزد سليمان آمد، [سليمان‌] گفت: «آيا مرا به مالى كمك مى‌دهيد؟ آنچه خدا به من عطا كرده، بهتر است از آنچه به شما داده‌است. [نه،] بلكه شما به ارمغان خود شادمانى مى‌نماييد.,36,19
به سوى آنان بازگرد كه قطعاً سپاهيانى بر [سر] ايشان مى‌آوريم كه در برابر آنها تاب ايستادگى نداشته باشند و از آن [ديار] به خوارى و زبونى بيرونشان مى‌كنيم.»,37,19
[سپس‌] گفت: «اى سران [كشور] كدام يك از شما تخت او را -پيش از آنكه مطيعانه نزد من آيند- براى من مى‌آورد؟»,38,19
عفريتى از جن گفت: «من آن را پيش از آنكه از مجلس خود برخيزى براى تو مى‌آورم و بر اين [كار] سخت توانا و مورد اعتمادم.»,39,19
كسى كه نزد او دانشى از كتاب [الهى‌] بود، گفت: «من آن را پيش از آنكه چشم خود را بر هم زنى برايت مى‌آورم.» پس چون [سليمان‌] آن [تخت‌] را نزد خود مستقر ديد، گفت: «اين از فضل پروردگار من است، تا مرا بيازمايد كه آيا سپاسگزارم يا ناسپاسى مى‌كنم. و هر كس سپاس گزارد، تنها به سود خويش سپاس مى‌گزارد، و هر كس ناسپاسى كند، بى‌گمان پروردگارم بى‌نياز و كريم است.»,40,19
و كسانى را كه ايمان آورده‌اند و كارهاى شايسته انجام داده‌اند، مژده ده كه ايشان را باغهايى خواهد بود كه از زير [درختان‌] آنها جويها روان است. هر گاه ميوه‌اى از آن روزىِ ايشان شود، مى‌گويند: «اين همان است كه پيش از اين [نيز ]روزىِ ما بوده.» و مانند آن [نعمتها] به ايشان داده شود؛ و در آنجا همسرانى پاكيزه خواهند داشت؛ و در آنجا جاودانه بمانند.,25,1
شب را به روز در مى‌آورى، و روز را به شب در مى‌آورى؛ و زنده را از مرده بيرون مى آورى، و مرده را از زنده خارج مى‌سازى؛ و هر كه را خواهى، بى‌حساب روزى مى‌دهى.,27,3
گفت: «تخت [ملكه‌] را برايش ناشناس گردانيد تا ببينيم آيا پى مى‌برد يا از كسانى است كه پى نمى‌برند.»,41,19
پس وقتى [ملكه‌] آمد، [بدو] گفته شد: «آيا تخت تو همين گونه است؟» گفت: «گويا اين همان است و پيش از اين، ما آگاه شده و از در اطاعت درآمده بوديم.»,42,19
و [در حقيقت قبلاً] آنچه غير از خدا مى‌پرستيد مانع [ايمان‌] او شده بود و او از جمله گروه كافران بود.,43,19
به او گفته شد: «وارد ساحت كاخ [پادشاهى‌] شو.» و چون آن را ديد، بركه‌اى پنداشت و ساقهايش را نمايان كرد. [سليمان‌] گفت: «اين كاخى مفروش از آبگينه است.» [ملكه‌] گفت: «پروردگارا، من به خود ستم كردم و [اينك‌] با سليمان در برابر خدا، پروردگار جهانيان، تسليم شدم.»,44,19
و به راستى، به سوى ثمود، برادرشان صالح را فرستاديم كه: «خدا را بپرستيد.» پس به ناگاه آنان دو دسته متخاصم شدند.,45,19
[صالح‌] گفت: «اى قوم من، چرا پيش از [جستن‌] نيكى، شتابزده خواهان بدى هستيد؟ چرا از خدا آمرزش نمى‌خواهيد؟ باشد كه مورد رحمت قرار گيريد.»,46,19
گفتند: «ما به تو و به هر كس كه همراه توست شگون بد زديم.» گفت: «سرنوشت خوب و بدتان پيش خداست، بلكه شما مردمى هستيد كه مورد آزمايش قرار گرفته‌ايد.»,47,19
و در آن شهر، نُه دسته بودند كه در آن سرزمين فساد مى‌كردند و از در اصلاح درنمى‌آمدند.,48,19
[با هم‌] گفتند: «با يكديگر سوگند بخوريد كه: حتماً به [صالح‌] و كسانش شبيخون مى‌زنيم، سپس به ولىّ او خواهيم گفت: ما در محل قتل كسانش حاضر نبوديم، و ما قطعاً راست مى‌گوييم.»,49,19
و دست به نيرنگ زدند و [ما نيز] دست به نيرنگ زديم و خبر نداشتند.,50,19
مؤمنان نبايد كافران را -به جاى مؤمنان- به دوستى بگيرند؛ و هر كه چنين كند، در هيچ چيز [او را] از [دوستى‌] خدا [بهره‌اى‌] نيست، مگر اينكه از آنان به نوعى تقيّه كند و خداوند، شما را از [عقوبت‌] خود مى‌ترساند، و بازگشت [همه‌] به سوى خداست.,28,3
پس بنگر كه فرجام نيرنگشان چگونه بود: ما آنان و قومشان را همگى هلاك كرديم.,51,19
و اين [هم‌] خانه‌هاى خالى آنهاست به [سزاى‌] بيدادى كه كرده‌اند. قطعاً در اين [كيفر] براى مردمى كه مى‌دانند عبرتى خواهد بود.,52,19
و كسانى را كه ايمان آورده و تقوا پيشه كرده بودند رهانيديم.,53,19
و [ياد كن‌] لوط را كه چون به قوم خود گفت: «آيا ديده و دانسته مرتكب عمل ناشايست [لواط] مى‌شويد؟,54,19
آيا شما به جاى زنان، از روى شهوت با مردها در مى‌آميزيد؟ [نه!] بلكه شما مردمى جهالت‌پيشه‌ايد.»,55,19
و[لى‌] پاسخ قومش غير از اين نبود كه گفتند: «خاندان لوط را از شهرتان بيرون كنيد كه آنها مردمى هستند كه به پاكى تظاهر مى‌نمايند.»,56,20
پس او و خانواده‌اش را نجات داديم، جز زنش را كه مقدّر كرديم از باقى‌ماندگان [در خاكستر آتش‌] باشد.,57,20
و بارانى [از سجّيل‌] بر ايشان فرو باريديم، و باران هشدارداده‌شدگان، چه بد بارانى بود.,58,20
بگو: «سپاس براى خداست، و درود بر آن بندگانش كه [آنان را] برگزيده است.» آيا خدا بهتر است يا آنچه [با او] شريك مى‌گردانند؟,59,20
[آيا آنچه شريك مى‌پندارند بهتر است‌] يا آن كس كه آسمانها و زمين را خلق كرد و براى شما آبى از آسمان فرود آورد، پس به وسيله آن، باغهاى بهجت‌انگيز رويانيديم. كار شما نبود كه درختانش را برويانيد. آيا معبودى با خداست؟ [نه،] بلكه آنان قومى منحرفند.,60,20
بگو: «اگر آنچه در سينه‌هاى شماست نهان داريد يا آشكارش كنيد، خدا آن را مى داند، و [نيز] آنچه را در آسمانها و آنچه را در زمين است مى‌داند، و خداوند بر هر چيزى تواناست.»,29,3
[آيا شريكانى كه مى‌پندارند بهتر است‌] يا آن كس كه زمين را قرارگاهى ساخت و در آن رودها پديد آورد و براى آن، كوه‌ها را [مانند لنگر] قرار داد، و ميان دو دريا برزخى گذاشت؟ آيا معبودى با خداست؟ [نه،] بلكه بيشترشان نمى‌دانند.,61,20
يا [كيست‌] آن كس كه درمانده را -چون وى را بخواند- اجابت مى‌كند، و گرفتارى را برطرف مى‌گرداند، و شما را جانشينان اين زمين قرار مى‌دهد؟ آيا معبودى با خداست؟ چه كم پند مى‌پذيريد.,62,20
يا آن كس كه شما را در تاريكيهاى خشكى و دريا راه مى‌نمايد و آن كس كه بادها[ى باران زا] را پيشاپيش رحمتش بشارتگر مى‌فرستد؟ آيا معبودى با خداست؟ خدا برتر [و بزرگتر] است از آنچه [با او ]شريك مى‌گردانند.,63,20
يا آن كس كه خلق را آغاز مى‌كند و سپس آن را بازمى‌آورد، و آن كس كه از آسمان و زمين به شما روزى مى‌دهد؟ آيا معبودى با خداست؟ بگو: «اگر راست مى‌گوييد، برهان خويش را بياوريد.»,64,20
بگو: «هر كه در آسمانها و زمين است -جز خدا- غيب را نمى‌شناسند و نمى‌دانند كى برانگيخته خواهند شد؟»,65,20
[نه،] بلكه علم آنان در باره آخرت نارساست؛ [نه،] بلكه ايشان در باره آن ترديد دارند؛ [نه،] بلكه آنان در مورد آن كوردلند.,66,20
و كسانى كه كفر ورزيدند، گفتند: «آيا وقتى ما و پدرانمان خاك شديم، آيا حتماً [زنده از گور] بيرون آورده مى‌شويم؟,67,20
در حقيقت، اين را به ما و پدرانمان قبلاً وعده داده‌اند؛ اين جز افسانه‌هاى پيشينيان نيست.»,68,20
بگو: «در زمين بگرديد و بنگريد فرجام گنه‌پيشگان چگونه بوده است.»,69,20
و بر آنان غم مخور، و از آنچه مكر مى‌كنند تنگدل مباش.,70,20
روزى كه هر كسى آنچه كار نيك به جاى آورده و آنچه بدى مرتكب شده، حاضر شده مى يابد؛ و آرزو مى‌كند: كاش ميان او و آن [كارهاى بد] فاصله‌اى دور بود. و خداوند، شما را از [كيفر] خود مى‌ترساند، و [در عين حال‌] خدا به بندگان [خود ]مهربان است.,30,3
و مى‌گويند: «اگر راست مى‌گوييد، اين وعده كى خواهد بود؟»,71,20
بگو: «شايد برخى از آنچه را به شتاب مى‌خواهيد در پى شما باشد.»,72,20
و راستى پروردگارت بر [اين‌] مردم داراى بخشش است، ولى بيشترشان سپاس نمى‌دارند.,73,20
و در حقيقت، پروردگار تو آنچه را در سينه‌هايشان نهفته و آنچه را آشكار مى‌دارند نيك مى‌داند.,74,20
و هيچ پنهانى در آسمان و زمين نيست، مگر اينكه در كتابى روشن [درج‌] است.,75,20
بى‌گمان، اين قرآن بر فرزندان اسرائيل بيشتر آنچه را كه آنان در باره‌اش اختلاف دارند حكايت مى‌كند.,76,20
و به راستى كه آن، رهنمود و رحمتى براى مؤمنان است.,77,20
در حقيقت، پروردگار تو طبق حكم خود ميان آنان داورى مى‌كند، و اوست شكست‌ناپذير دانا.,78,20
پس بر خدا توكل كن كه تو واقعاً بر حق آشكارى.,79,20
البته تو مردگان را شنوا نمى‌گردانى، و اين ندا را به كران -چون پشت بگردانند- نمى‌توانى بشنوانى.,80,20
بگو: «اگر خدا را دوست داريد، از من پيروى كنيد تا خدا دوستتان بدارد و گناهان شما را بر شما ببخشايد، و خداوند آمرزنده مهربان است.»,31,3
و راهبر كوران [و بازگرداننده‌] از گمراهى‌شان نيستى. تو جز كسانى را كه به نشانه‌هاى ما ايمان آورده‌اند و مسلمانند، نمى‌توانى بشنوانى.,81,20
و چون قول [عذاب‌] بر ايشان واجب گردد، جنبنده‌اى را از زمين براى آنان بيرون مى‌آوريم كه با ايشان سخن گويد كه: مردم [چنانكه بايد] به نشانه‌هاى ما يقين نداشتند.,82,20
و آن روز كه از هر امتى، گروهى از كسانى را كه آيات ما را تكذيب كرده‌اند محشور مى‌گردانيم، پس آنان نگاه داشته مى‌شوند تا همه به هم بپيوندند.,83,20
تا چون [همه كافران‌] بيايند، [خدا] مى‌فرمايد: «آيا نشانه‌هاى مرا به دروغ گرفتيد و حال آنكه از نظر علم، بدانها احاطه نداشتيد؟ آيا [در طول حيات‌] چه مى‌كرديد؟»,84,20
و به [كيفر] آنكه ستم كردند، حكم [عذاب‌] بر آنان واجب گردد، در نتيجه ايشان دَم برنيارند.,85,20
آيا نديده‌اند كه ما شب را قرار داده‌ايم تا در آن بياسايند، و روز را روشنى‌بخش [گردانيديم‌]؟ قطعاً در اين [امر] براى مردمى كه ايمان مى‌آورند مايه‌هاى عبرت است.,86,20
و روزى كه در صور دميده شود، پس هر كه در آسمانها و هر كه در زمين است به هراس افتد، مگر آن كس كه خدا بخواهد. و جملگى با زبونى رو به سوى او آورند.,87,20
و كوهها را مى‌بينى [و] مى‌پندارى كه آنها بى‌حركتند و حال آنكه آنها ابرآسا در حركتند. [اين‌] صُنعِ خدايى است كه هر چيزى را در كمال استوارى پديد آورده است. در حقيقت، او به آنچه انجام مى‌دهيد آگاه است.,88,20
هر كس نيكى به ميان آورد، پاداشى بهتر از آن خواهد داشت، و آنان از هراس آن روز ايمنند.,89,20
و هر كس بدى به ميان آورد، به رو در آتش [دوزخ‌] سرنگون شوند. آيا جز آنچه مى‌كرديد سزا داده مى‌شويد؟,90,20
بگو: «خدا و پيامبر [او] را اطاعت كنيد.» پس اگر رويگردان شدند، قطعاً خداوند كافران را دوست ندارد.,32,3
من مأمورم كه تنها پروردگار اين شهر را كه آن را مقدس شمرده و هر چيزى از آنِ اوست پرستش كنم، و مأمورم كه از مسلمانان باشم،,91,20
و اينكه قرآن را بخوانم. پس هر كه راه يابد تنها به سود خود راه يافته است؛ و هر كه گمراه شود بگو: «من فقط از هشداردهندگانم.»,92,20
و بگو: «ستايش از آنِ خداست. به زودى آياتش را به شما نشان خواهد داد و آن را خواهيد شناخت.» و پروردگار تو از آنچه مى‌كنيد غافل نيست.,93,20
طا، سين، ميم.,1,20
اين است آيات كتاب روشنگر.,2,20
[بخشى‌] از گزارش [حال‌] موسى و فرعون را براى [آگاهى‌] مردمى كه ايمان مى‌آورند، به درستى بر تو مى‌خوانيم:,3,20
فرعون در سرزمين [مصر] سر برافراشت، و مردم آن را طبقه طبقه ساخت؛ طبقه‌اى از آنان را زبون مى‌داشت: پسرانشان را سر مى‌بريد، و زنانشان را [براى بهره‌كشى‌] زنده بر جاى مى‌گذاشت، كه وى از فسادكاران بود.,4,20
و خواستيم بر كسانى كه در آن سرزمين فرو دست شده بودند منّت نهيم و آنان را پيشوايان [مردم‌] گردانيم، و ايشان را وارث [زمين‌] كنيم،,5,20
و در زمين قدرتشان دهيم و [از طرفى‌] به فرعون و هامان و لشكريانشان آنچه را كه از جانب آنان بيمناك بودند، بنمايانيم.,6,20
و به مادر موسى وحى كرديم كه: «او را شير ده، و چون بر او بيمناك شدى او را در نيل بينداز، و مترس و اندوه مدار كه ما او را به تو بازمى‌گردانيم و از [زمره‌] پيمبرانش قرار مى‌دهيم.»,7,20
به يقين، خداوند، آدم و نوح و خاندان ابراهيم و خاندان عمران را بر مردم جهان برترى داده است.,33,3
پس خاندان فرعون، او را [از آب‌] برگرفتند تا سرانجام دشمنِ [جانِ‌] آنان و مايه اندوهشان باشد. آرى، فرعون و هامان و لشكريان آنها خطاكار بودند.,8,20
و همسر فرعون گفت: «[اين كودك‌] نور چشم من و تو خواهد بود. او را مكشيد. شايد براى ما سودمند باشد يا او را به فرزندى بگيريم، ولى آنها خبر نداشتند.,9,20
و دل مادر موسى [از هر چيز، جز از فكر فرزند] تهى گشت. اگر قلبش را استوار نساخته بوديم تا از ايمان‌آورندگان باشد، چيزى نمانده بود كه آن [راز] را افشا كند.,10,20
و به خواهر [موسى‌] گفت: «از پى او برو.» پس او را از دور ديد، در حالى كه آنان متوجه نبودند.,11,20
و از پيش، شير دايگان را بر او حرام گردانيده بوديم. پس [خواهرش آمد و] گفت: «آيا شما را بر خانواده‌اى راهنمايى كنم كه براى شما از وى سرپرستى كنند و خيرخواه او باشند؟»,12,20
پس او را به مادرش بازگردانيديم تا چشمش [بدو] روشن شود و غم نخورد و بداند كه وعده خدا درست است، ولى بيشترشان نمى‌دانند.,13,20
و چون به رشد و كمال خويش رسيد، به او حكمت و دانش عطا كرديم، و نيكوكاران را چنين پاداش مى‌دهيم.,14,20
و داخل شهر شد بى‌آنكه مردمش متوجه باشند. پس دو مرد را با هم در زد و خورد يافت: يكى، از پيروان او و ديگرى از دشمنانش [بود]. آن كس كه از پيروانش بود، بر ضد كسى كه دشمن وى بود، از او يارى خواست. پس موسى مشتى بدو زد و او را كشت. گفت: «اين كار شيطان است، چرا كه او دشمنى گمراه‌كننده [و] آشكار است.»,15,20
گفت: «پروردگارا، من بر خويشتن ستم كردم، مرا ببخش.» پس خدا از او درگذشت كه وى آمرزنده مهربان است.,16,20
